id,   Name,   Surname,   Phone Number,   description,   
1,   Edward,   Wilkins,   89101234567,   friend,   
2,   Donna,   Bishop,   89103454232,   famili,   
3,   Gregory,   Johnson,   89112354532,   -,   
4,   Bryan,   Thompson,   89116801075,   job,   
5,   Lori,   Anderson,   89122361057,   -,   
6,   Billie,   Tucker,   89127921040,   friend,   
7,   Terry,   Smith,   89133481022,   job,   
8,   Sally,   Jordan,   89139041005,   friend,   
9,   Louise,   Carr,   89144600987,   -,   
10,   Felix,   King,   89150160970,   friend,   
11,   Stephen,   Smith,   89155720952,   job,   
12,   Jennifer,   Sullivan,   89161280935,   job,   
13,   Vera,   Smith,   89166840917,   job,   
14,   Mildred,   Roy,   89172400900,   famili,   
15,   Joe,   Barnes,   89177960882,   -,   
16,   Matthew,   Williams,   89183520865,   -,   
17,   William,   Gardner,   89189080847,   -,   
18,   Charlotte,   Patterson,   89194640830,   friend,   
19,   Bonnie,   Woods,   89200200812,   famili,   
20,   John,   Murray,   89205760795,   -,   
21,   Judy,   Smith,   89211320777,   job,   
22,   Kevin,   Welch,   89216880760,   -,   
23,   Brian,   Johnson,   89222440742,   friend,   
24,   Brenda,   Watson,   89228000725,   job,   
25,   Mary,   Mitchell,   89233560707,   friend,   
26,   Pamela,   McCarthy,   89239120690,   -,   
27,   Marie,   Leonard,   89244680672,   friend,   
28,   Christopher,   McKinney,   89250240655,   job,   
29,   Michael,   Wood,   89255800637,   job,   
30,   Kenneth,   Herrera,   89261360620,   job,   
31,   Katherine,   Williams,   89266920602,   famili,   
32,   Sean,   Briggs,   89272480585,   -,   
33,   Melvin,   Jones,   89278040567,   -,   
34,   Jill,   Frank,   89283600550,   -,   
35,   Jennifer,   Clark,   89289160532,   friend,   
36,   Jorge,   Turner,   89294720515,   famili,   
37,   Ivan,   Davis,   89300280497,   -,   
38,   Mitchell,   Lindsey,   89305840480,   job,   
39,   Mark,   Rowe,   89311400462,   -,   
40,   Peter,   Diaz,   89316960445,   friend,   
41,   Jesus,   Ferguson,   89322520427,   job,   
42,   Dennis,   Rodriquez,   89328080410,   friend,   
43,   Lisa,   Jones,   89333640392,   -,   
44,   Renee,   Bennett,   89339200375,   friend,   
45,   Christopher,   Wilson,   89344760357,   job,   
46,   Tony,   Warner,   89350320340,   job,   
47,   Martin,   Taylor,   89355880322,   job,   
48,   Jonathan,   Adams,   89361440305,   famili,   
49,   Tony,   Fowler,   89367000287,   -,   
50,   Pamela,   White,   89372560270,   -,   
51,   Hector,   Reyes,   89378120252,   -,   
52,   Gary,   Bennett,   89383680235,   friend,   
53,   Rosemary,   Adams,   89389240217,   famili,   
54,   Diana,   Hunter,   89394800200,   -,   
55,   Marcus,   Chambers,   89400360182,   job,   
56,   Roberta,   Perry,   89405920165,   -,   
57,   Robert,   Glover,   89411480147,   friend,   
58,   Daisy,   Wilson,   89417040130,   job,   
59,   Robert,   Jones,   89422600112,   friend,   
60,   Michael,   Simpson,   89428160095,   -,   
61,   Catherine,   Rivera,   89433720077,   friend,   
62,   Jonathan,   Holt,   89439280060,   job,   
63,   Sylvia,   Nash,   89444840042,   job,   
64,   Amber,   Harvey,   89450400025,   job,   
65,   Helen,   White,   89455960007,   famili,   
66,   Shirley,   Howard,   89461519990,   -,   
67,   Sally,   Bell,   89467079972,   -,   
68,   Timothy,   Johnson,   89472639955,   -,   
69,   Michelle,   Walker,   89478199937,   friend,   
70,   Elsie,   Evans,   89483759920,   famili,   
71,   James,   Butler,   89489319902,   -,   
72,   Micheal,   Johnson,   89494879885,   job,   
73,   Michele,   Harper,   89500439867,   -,   
74,   Ralph,   Burton,   89505999850,   friend,   
75,   Amanda,   Diaz,   89511559832,   job,   
76,   Barbara,   Roy,   89517119815,   friend,   
77,   Julie,   Miller,   89522679797,   -,   
78,   Helen,   Wolfe,   89528239780,   friend,   
79,   Cheryl,   Bailey,   89533799762,   job,   
80,   Andy,   Morris,   89539359745,   job,   
81,   Raymond,   Jackson,   89544919727,   job,   
82,   Wanda,   Shaw,   89550479710,   famili,   
83,   Matthew,   Barton,   89556039692,   -,   
84,   Larry,   James,   89561599675,   -,   
85,   David,   Kelley,   89567159657,   -,   
86,   Brittany,   Walker,   89572719640,   friend,   
87,   Karen,   Sanchez,   89578279622,   famili,   
88,   Thomas,   Luna,   89583839605,   -,   
89,   Greg,   Gonzales,   89589399587,   job,   
90,   Ronald,   Cook,   89594959570,   -,   
91,   Terry,   Rogers,   89600519552,   friend,   
92,   John,   Johnson,   89606079535,   job,   
93,   Cynthia,   Frank,   89611639517,   friend,   
94,   Lillian,   Thomas,   89617199500,   -,   
95,   Cathy,   Cruz,   89622759482,   friend,   
96,   Samuel,   Thompson,   89628319465,   job,   
